Pincode,Latitude,Longitude,EV Maker,Place,State
111045,18.5204,73.8567,Tata Motors,Pune,Maharashtra
530068,12.9065,77.6312,Mahindra Electric,Bengaluru,Karnataka
530068,12.90651,77.63121,Ather Energy,Bengaluru,Karnataka
110001,28.6295,77.2152,Hero Electric,New Delhi,Delhi
635001,12.5296,78.2094,Ola Electric,Krishnagiri,Tamil Nadu
600001,13.0843,80.2705,Ashok Leyland,Chennai,Tamil Nadu
635109,12.7409,77.8253,TVS Motor Company,Hosur,Tamil Nadu
111045,18.52041,73.85671,Bajaj Auto,Pune,Maharashtra
389350,22.5046,73.4714,MG Motor India,Halol,Gujarat
600001,13.08431,80.27051,Hyundai Motor India,Chennai,Tamil Nadu
122002,28.4595,77.0266,Revolt Motors,Gurgaon,Haryana
631027,11.0168,76.9558,Ampere Vehicles,Coimbatore,Tamil Nadu
301019,28.2014,76.8276,Okinawa Autotech,Bhiwadi,Rajasthan
111045,18.52042,73.85672,Kinetic Green Energy,Pune,Maharashtra
601205,12.9625,79.9453,BYD India,Sriperumbudur,Tamil Nadu
101213,28.4089,77.3178,JBM Auto,Faridabad,Haryana
413102,18.1792,74.6078,Piaggio Vehicles,Baramati,Maharashtra
123106,28.2057,76.7915,Hero MotoCorp,Dharuhera,Haryana
500001,17.4065,78.4772,Etrio Automobiles,Hyderabad,Telangana
370001,23.242,69.6669,Triton Electric,Bhuj,Gujarat
530668,12.90652,77.63122,Simple Energy,Bengaluru,Karnataka
111045,18.52043,73.85673,Minda Industries,Pune,Maharashtra
700001,22.5744,88.3629,Exide Industries,Kolkata,West Bengal
400001,19.076,72.8777,Greaves Cotton,Mumbai,Maharashtra
122050,28.3515,76.9428,Maruti Suzuki India,Manesar,Haryana
600001,13.08432,80.27052,Renault India,Chennai,Tamil Nadu
602001,13.1227,79.9118,Citroën India,Thiruvallur,Tamil Nadu
431001,19.8758,75.3393,Audi India,Aurangabad,Maharashtra
410501,18.7632,73.8613,Mercedes-Benz India,Chakan,Maharashtra
510051,14.6824,77.6017,Kia Motors India,Anantapur,Andhra Pradesh
453331,22.6111,75.6773,Volvo Eicher,Pithampur,Madhya Pradesh
400001,19.076,72.8777,JSW Energy,Mumbai,Maharashtra
500001,17.40651,78.47721,Olectra Greentech,Hyderabad,Telangana
111045,18.52044,73.85674,Force Motors,Pune,Maharashtra
600001,13.08433,80.27053,TVS Electronics,Chennai,Tamil Nadu
600001,13.08434,80.27054,Royal Enfield,Chennai,Tamil Nadu
111045,18.52045,73.85675,Bharat Forge,Pune,Maharashtra
700057,22.6701,88.3355,Hindustan Motors,Uttarpara,West Bengal
360001,22.3039,70.8022,Atul Auto,Rajkot,Gujarat
140001,30.9661,76.5231,SML Isuzu,Ropar,Punjab
530068,12.90653,77.63123,Mahindra Reva,Bengaluru,Karnataka
363641,22.8252,70.8491,Ajanta Manufacturing,Morbi,Gujarat
400001,19.0761,72.8777,Tata Power,Mumbai,Maharashtra
301001,27.553,76.6346,Ashok Leyland (EV Bus),Alwar,Rajasthan
302001,26.9124,75.7873,HOP Electric Mobility,Jaipur,Rajasthan
101213,28.408902,77.317802,Omega Seiki Mobility,Faridabad,Haryana
411035,18.6499,73.7809,Bajaj Auto (EV),Akurdi,Maharashtra
111045,18.52046,73.85676,Tata AutoComp Systems,Pune,Maharashtra
530068,12.90654,77.63124,Bosch India,Bengaluru,Karnataka
244713,29.2104,78.9619,Lohia Auto Industries,Kashipur,Uttarakhand
301019,28.2014,76.8276,Saera Electric Auto,Bhiwadi,Rajasthan
700001,22.57441,88.36291,Jezza Motors,Kolkata,West Bengal
530068,12.9065,77.6312,Altigreen Propulsion Labs,Bengaluru,Karnataka
122002,28.459502,77.026602,Terra Motors India,Gurugram,Haryana
500001,17.40652,78.47722,Gayam Motor Works,Hyderabad,Telangana
414001,19.0948,74.748,Kinetic Green (3-Wheeler),Ahmednagar,Maharashtra
631027,11.01681,76.95581,Greaves Electric Mobility,Coimbatore,Tamil Nadu
110001,28.62951,77.21521,YC Electric Vehicle,New Delhi,Delhi
110001,28.62952,77.21522,Dilli Electric Auto Pvt Ltd,New Delhi,Delhi
320008,23.0225,72.5714,Electrotherm India,Ahmedabad,Gujarat
244713,29.210401,78.961901,Lohia Auto Industries,Kashipur,Uttarakhand
110001,28.62949,77.21512,Euler Motors,New Delhi,Delhi
